[08.06.2026, 08:24:35] guest | OPTIONS /api/ideas/my | 204 | 5ms
[09:28:57] admin@example.com | GET /my | 304 | 3ms
[09:29:06] guest | OPTIONS /api/ideas/my | 204 | 0ms
[09:29:06] admin@example.com | GET /my | 304 | 3ms
[09:29:12] guest | OPTIONS /api/ideas/my | 204 | 0ms
[09:29:12] admin@example.com | GET /my | 304 | 5ms
[09:31:42] guest | GET / | 304 | 2ms
[09:32:34] guest | OPTIONS /api/ideas/1 | 204 | 0ms
[09:32:34] guest | OPTIONS /api/ideas/2 | 204 | 0ms
[09:32:35] admin@example.com | PUT /2 | 200 | 344ms
[09:32:35] admin@example.com | PUT /1 | 200 | 18ms
[09:32:40] guest | OPTIONS /api/ideas/my | 204 | 0ms
[09:32:40] admin@example.com | GET /my | 200 | 3ms
[09:33:08] guest | OPTIONS /api/ideas/my | 204 | 0ms
[09:33:08] admin@example.com | GET /my | 304 | 4ms
[10:00:04] guest | OPTIONS /api/ideas/my | 204 | 1ms
[10:00:04] admin@example.com | GET /my | 304 | 11ms
[14:20:04] guest | GET / | 200 | 10ms
[14:20:04] guest | OPTIONS /api/votes/my | 204 | 1ms
[14:20:04] admin@example.com | GET /my | 304 | 7ms
[14:21:15] guest | OPTIONS /api/ideas/my | 204 | 1ms
[14:21:15] admin@example.com | GET /my | 304 | 4ms
[14:21:21] guest | GET /?status=done | 304 | 2ms
[14:21:21] guest | OPTIONS /api/votes/my | 204 | 1ms
[14:21:21] admin@example.com | GET /my | 304 | 4ms
[14:21:29] guest | OPTIONS /api/ideas/my | 204 | 1ms
[14:21:29] admin@example.com | GET /my | 304 | 3ms
[14:21:44] guest | GET / | 304 | 2ms
[14:21:44] guest | OPTIONS /api/votes/my | 204 | 1ms
[14:21:44] admin@example.com | GET /my | 304 | 3ms
[14:41:00] guest | GET / | 304 | 2ms
[14:41:00] guest | OPTIONS /api/votes/my | 204 | 1ms
[14:41:00] admin@example.com | GET /my | 304 | 2ms
[14:43:29] guest | OPTIONS /api/ideas/my | 204 | 1ms
[14:43:29] admin@example.com | GET /my | 304 | 5ms
[14:43:36] guest | GET /?status=done | 304 | 1ms
[14:43:36] guest | OPTIONS /api/votes/my | 204 | 0ms
[14:43:36] admin@example.com | GET /my | 304 | 7ms
[14:43:48] guest | GET / | 304 | 4ms
[14:43:48] guest | OPTIONS /api/votes/my | 204 | 1ms
[14:43:48] admin@example.com | GET /my | 304 | 2ms
[14:48:25] guest | OPTIONS /api/ideas/my | 204 | 0ms
[14:48:25] admin@example.com | GET /my | 304 | 2ms
[14:48:29] guest | GET / | 304 | 1ms
[14:48:29] guest | OPTIONS /api/votes/my | 204 | 2ms
[14:48:29] admin@example.com | GET /my | 304 | 5ms
[14:49:08] guest | GET /?status=done | 304 | 5ms
[14:49:08] guest | OPTIONS /api/votes/my | 204 | 0ms
[14:49:08] admin@example.com | GET /my | 304 | 3ms
[14:49:30] guest | GET / | 304 | 6ms
[14:49:30] guest | OPTIONS /api/votes/my | 204 | 0ms
[14:49:30] admin@example.com | GET /my | 304 | 5ms
[14:59:31] guest | OPTIONS /api/ideas | 204 | 0ms
[14:59:31] admin@example.com | POST / | 201 | 425ms
[14:59:32] guest | GET / | 200 | 2ms
[14:59:32] guest | OPTIONS /api/votes/my | 204 | 1ms
[14:59:32] admin@example.com | GET /my | 304 | 4ms
[14:59:50] guest | GET / | 304 | 6ms
[14:59:50] guest | OPTIONS /api/votes/my | 204 | 0ms
[14:59:50] admin@example.com | GET /my | 304 | 2ms
[15:01:40] guest | OPTIONS /api/ideas/my | 204 | 0ms
[15:01:40] admin@example.com | GET /my | 200 | 7ms
[15:01:45] guest | OPTIONS /api/ideas/77 | 204 | 0ms
[15:01:45] admin@example.com | DELETE /77 | 200 | 29ms
[15:01:45] guest | OPTIONS /api/ideas/my | 204 | 0ms
[15:01:45] admin@example.com | GET /my | 200 | 4ms
[15:01:48] guest | GET / | 200 | 4ms
[15:01:48] guest | OPTIONS /api/votes/my | 204 | 1ms
[15:01:48] admin@example.com | GET /my | 304 | 6ms
[09:11:02] guest | GET / | 304 | 9ms
[09:11:02] guest | OPTIONS /api/votes/my | 204 | 2ms
[09:11:02] admin@example.com | GET /my | 304 | 6ms
[09:26:31] guest | GET / | 304 | 3ms
[12:39:41] guest | GET / | 304 | 9ms
[12:42:04] guest | OPTIONS /api/auth/login | 204 | 1ms
[12:42:05] guest | POST /login | 200 | 383ms
[12:42:06] guest | GET / | 304 | 2ms
[12:42:06] guest | OPTIONS /api/votes/my | 204 | 1ms
[12:42:06] user@gmail.com | GET /my | 200 | 5ms
[12:49:02] guest | OPTIONS /api/ideas/my | 204 | 1ms
[12:49:02] user@gmail.com | GET /my | 200 | 4ms
[13:07:45] guest | GET / | 304 | 3ms
[13:07:45] guest | OPTIONS /api/votes/my | 204 | 2ms
[13:07:45] user@gmail.com | GET /my | 304 | 3ms
[13:27:21] guest | GET / | 304 | 2ms
[13:34:58] guest | OPTIONS /api/auth/login | 204 | 1ms
[13:34:58] guest | POST /login | 200 | 4ms
[13:34:59] guest | GET / | 304 | 2ms
[13:34:59] guest | OPTIONS /api/votes/my | 204 | 1ms
[13:34:59] user@gmail.com | GET /my | 304 | 5ms
[13:39:04] guest | OPTIONS /api/ideas/my | 204 | 1ms
[13:39:04] user@gmail.com | GET /my | 304 | 3ms
[13:46:04] guest | GET /?status=done | 304 | 2ms
[13:46:04] guest | OPTIONS /api/votes/my | 204 | 1ms
[13:46:04] user@gmail.com | GET /my | 304 | 3ms
[13:50:49] guest | GET / | 304 | 1ms
[13:51:46] guest | OPTIONS /api/auth/login | 204 | 0ms
[13:51:46] guest | POST /login | 200 | 2ms
[13:51:47] guest | GET / | 304 | 1ms
[13:51:47] guest | OPTIONS /api/votes/my | 204 | 1ms
[13:51:47] admin@example.com | GET /my | 200 | 1ms
[13:51:52] guest | OPTIONS /api/ideas/my | 204 | 0ms
[13:51:52] admin@example.com | GET /my | 200 | 3ms
[13:54:00] guest | OPTIONS /api/ideas/my | 204 | 0ms
[13:54:00] admin@example.com | GET /my | 304 | 3ms
